תחום גאוגרפי,סוג דרך,יחידה משטרתית,חודש תאונה,שעה,סוג יום,יום/לילה ,יום בשבוע,חומרת התאונה,סוג תאונה,דרך חד מסלולית,דרך רב מסלולית,מהירות מותרת,תקינות הדרך,רוחב הכביש,סימון/תימרור,תאורה,מזג אוויר,מצב פני הכביש,אופן חצייה,מקום חציה,מחוז,סמל יישוב,רחוב 1,רחוב 2,סוג עצם,מרחק עצם,לא חצה
ישראל ללא יהודה ושומרון,לא עירוני בצומת,מרחב גליל,אפריל,20:00-23:59,יום אחר,לילה,חמישי,קלה,התנגשות חזית אל חזית,אחר,אחר,עד 50 קמש,אין ליקוי,5 עד 7,תימרור לקוי/חסר,דמדומים,בהיר,יבש,לא ידוע,לא ידוע,חיפה,0,300,,9,9,9
ישראל ללא יהודה ושומרון,עירוני בצומת,מרחב תא,יולי,14:00-16:59,יום אחר,יום,שישי,קלה,התנגשות חזית אל צד,אחר,מיפרדה בנויה ללא גדר בטיחות,עד 50 קמש,אין ליקוי,7 עד 10.5,אין ליקוי,אור יום רגיל,בהיר,יבש,לא ידוע,לא ידוע,חיפה,5000,1231,576,9,9,9
יהודה והשומרון,לא עירוני לא בצומת,מרחב שומרון,נובמבר,14:00-16:59,יום אחר,יום,ראשון,קלה,התנגשות חזית אל צד,אחר,מיפרדה בנויה ללא גדר בטיחות,60 קמש,אין ליקוי,7 עד 10.5,אין ליקוי,אור יום רגיל,בהיר,יבש,לא ידוע,לא ידוע,הדרום,0,811,,9,9,9
ישראל ללא יהודה ושומרון,עירוני בצומת,מרחב תא,אוגוסט,17:00-19:59,יום אחר,לילה,שישי,קלה,התנגשות חזית אל צד,אחר,מיפרדה בנויה ללא גדר בטיחות,עד 50 קמש,אין ליקוי,7 עד 10.5,אין ליקוי,לילה פעלה תאורה,בהיר,יבש,לא ידוע,לא ידוע,חיפה,5000,811,,1,4,9
ישראל ללא יהודה ושומרון,עירוני בצומת,מרחב תא,ספטמבר,00:00-05:59,יום אחר,לילה,שישי,קלה,החלקה,אחר,אחר,עד 50 קמש,אין ליקוי,5 עד 7,אין ליקוי,אור יום רגיל,בהיר,יבש,לא ידוע,לא ידוע,המרכז,6200,263,,9,9,9
יהודה והשומרון,לא עירוני לא בצומת,מרחב שומרון,דצמבר,10:00-13:59,יום אחר,יום,חמישי,קלה,התנגשות חזית אל חזית,אחר,מיפרדה עם גדר בטיחות,90 קמש,אין ליקוי,7 עד 10.5,אין ליקוי,אור יום רגיל,בהיר,יבש,לא ידוע,לא ידוע,הצפון,0,,,9,9,9
ישראל ללא יהודה ושומרון,עירוני בצומת,מרחב השפלה,ינואר,17:00-19:59,יום אחר,יום,שישי,קלה,התנגשות חזית אל צד,חד סיטרי,לא ידוע,עד 50 קמש,אין ליקוי,לא ידוע,לא ידוע,אור יום רגיל,בהיר,יבש,אחר,במעבר חציה עם רמזור,תל אביב,2550,2157,,9,9,9
ישראל ללא יהודה ושומרון,עירוני בצומת,מחוז ירושלים,אפריל,06:00-09:59,חג,יום,ראשון,קלה,התנגשות חזית אל צד,לא ידוע מספר מסלולים,לא ידוע,לא ידוע,לא ידוע,לא ידוע,לא ידוע,יום לא ידוע,לא ידוע,לא ידוע,לא ידוע,לא ידוע,יהודה ושומרון,3000,,,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני לא בצומת,מרחב גליל,מאי,14:00-16:59,יום אחר,יום,רביעי,קלה,התנגשות עם עצם דומם,דו סיטרי אין קו הפרדה רצוף,לא ידוע,עד 50 קמש,אין ליקוי,5 עד 7,אין ליקוי,אור יום רגיל,בהיר,יבש,לא ידוע,לא ידוע,תל אביב,0,1554,1530,9,9,9
ישראל ללא יהודה ושומרון,עירוני לא בצומת,מחוז ירושלים,אפריל,20:00-23:59,יום אחר,לילה,שבת,קלה,התנגשות חזית אל חזית,דו סיטרי אין קו הפרדה רצוף,לא ידוע,70 קמש,לא ידוע,יותר מ-14,אין ליקוי,אור יום רגיל,בהיר,יבש,לא ידוע,לא ידוע,תל אביב,3000,,,9,9,9
